candidate_id,candidate_title,year,cos,meta,final,seed,comp_genres,comp_keywords,comp_cast,comp_director,comp_runtime,comp_language,comp_popularity,comp_vote
2616,Uncle Buck,1989.0,0.0,0.5033,0.2013,The Breakfast Club,0.6667,0.0,0.0,1.0,0.9978,1.0,0.9706,0.7635
9377,Ferris Bueller's Day Off,1986.0,0.0,0.5029,0.2012,The Breakfast Club,0.5,0.1538,0.0,1.0,0.9862,1.0,0.9891,0.9675
1991,Death Proof,2007.0,0.0,0.501,0.2004,Kill Bill: Vol. 2,0.6667,0.0179,0.0526,1.0,0.7454,1.0,0.9185,0.74
2018,The Wedding Planner,2001.0,0.0,0.5011,0.2004,Hairspray,0.6667,0.0,0.0,1.0,0.8968,1.0,0.9762,0.816
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,0.0,0.4982,0.1993,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1.0,0.2353,0.2121,0.0,0.6065,1.0,0.7418,0.8262
1003581,Justice League: Warworld,2023.0,0.0,0.4936,0.1974,Spider-Man: Into the Spider-Verse,1.0,0.5,0.0,0.0,0.667,1.0,0.5814,0.6235
962,The Gold Rush,1925.0,0.0,0.4904,0.1962,Modern Times,0.5,0.0541,0.0526,1.0,0.9651,1.0,0.9954,0.9217
2080,X-Men Origins: Wolverine,2009.0,0.0,0.4873,0.1949,Justice League,1.0,0.2857,0.0,0.0,0.9104,1.0,0.7443,0.9495
9513,Garfield: A Tail of Two Kitties,2006.0,0.0,0.4855,0.1942,Alvin and the Chipmunks,0.5,0.069,0.0526,1.0,0.8825,1.0,0.8957,0.945
2665,Airplane II: The Sequel,1982.0,0.0,0.4854,0.1942,Airplane!,1.0,0.0938,0.1765,0.0,0.995,1.0,0.9344,0.6985
1397163,Mobile Suit Gundam GQuuuuuuX -Beginning-,2025.0,0.0,0.4848,0.1939,Neon Genesis Evangelion: The End of Evangelion,1.0,0.0625,0.0,0.25,0.9802,1.0,0.8663,0.85
1372,Blood Diamond,2006.0,0.0,0.4822,0.1929,Pawn Sacrifice,0.6667,0.0,0.0,1.0,0.6469,1.0,0.865,0.799
924,Dawn of the Dead,2004.0,0.0,0.4793,0.1917,Army of the Dead,0.6667,0.0435,0.0,1.0,0.2931,1.0,0.9935,0.7925
533,Wallace & Gromit: The Curse of the Were-Rabbit,2005.0,0.0,0.4783,0.1913,Chicken Run,0.75,0.2414,0.0,0.3333,0.9994,1.0,0.9217,0.9295
10156,History of the World: Part I,1981.0,0.0,0.4782,0.1913,Spaceballs,0.5,0.0286,0.0256,1.0,0.9912,1.0,0.8695,0.987
26497,Impy's Island,2006.0,0.0,0.4777,0.1911,Animals United,0.5,0.0,0.0455,1.0,0.9802,1.0,0.9418,0.95
10151,Snow White,2005.0,0.0372,0.4214,0.1909,Christiane F.,1.0,0.0,0.0,0.0,0.8353,1.0,0.9669,0.625
10970,Silent Movie,1976.0,0.0,0.4742,0.1897,Spaceballs,0.5,0.037,0.0256,1.0,0.956,1.0,0.8565,0.92
10898,The Little Mermaid II: Return to the Sea,2000.0,0.0,0.4741,0.1896,The Land Before Time IV: Journey Through the Mists,1.0,0.0,0.1379,0.0,0.9994,1.0,0.9766,0.9538
879,Hook,1991.0,0.0,0.4737,0.1895,E.T. the Extra-Terrestrial,0.6,0.0,0.0,1.0,0.6869,1.0,0.9555,0.8313
10193,Toy Story 3,2010.0,0.0,0.4733,0.1893,"Monsters, Inc.",1.0,0.0625,0.1111,0.0,0.935,1.0,0.8485,0.9885
26538,Jack Frost,1979.0,0.0,0.4724,0.189,The Last Unicorn,0.6,0.0,0.0741,1.0,0.3411,1.0,0.9922,0.819
956,Mission: Impossible III,2006.0,0.0,0.4722,0.1889,Star Wars: The Rise of Skywalker,0.5,0.0,0.0526,1.0,0.8674,1.0,0.9791,0.8878
624860,The Matrix Resurrections,2021.0,0.0,0.4696,0.1879,The Matrix,0.6667,0.2667,0.0526,0.5,0.935,1.0,0.813,0.5343
26537,"Nestor, the Long-Eared Christmas Donkey",1977.0,0.0,0.4693,0.1877,Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,1.0,0.2857,0.0,0.0,0.2635,1.0,0.9929,0.986
28694,Bob the Builder: A Christmas to Remember - The Movie,2001.0,0.0,0.4692,0.1877,Rudolph the Red-Nosed Reindeer & the Island of Misfit Toys,1.0,0.25,0.0,0.0,0.935,1.0,0.9492,0.5
2019,Hard Target,1993.0,0.0,0.4691,0.1876,Manhunt,0.75,0.0,0.0,1.0,0.956,0.0,0.8702,0.8053
25913,Balto: Wolf Quest,2002.0,0.0,0.469,0.1876,The Land Before Time IX: Journey to Big Water,1.0,0.0,0.1053,0.0,0.9912,1.0,0.9903,0.9765
968,Dog Day Afternoon,1975.0,0.0,0.4682,0.1873,Inside Man,1.0,0.1562,0.0,0.0,0.9912,1.0,0.8602,0.8873
624479,Superman II: The Richard Donner Cut,2006.0,0.0,0.4676,0.187,Justice League,1.0,0.2308,0.0,0.0,0.9912,1.0,0.7686,0.6685
159,Maybe... Maybe Not,1994.0,0.0,0.4672,0.1869,Summer Storm,1.0,0.125,0.0,0.0,0.9912,1.0,0.9772,0.875
9375,Crazy,2000.0,0.0,0.4659,0.1863,Summer Storm,1.0,0.0952,0.0294,0.0,0.9651,1.0,0.9785,0.875
623388,Hammer: The 'Rootin' for Regen' story,2017.0,0.0,0.4653,0.1861,All My Life,0.5,1.0,0.0,0.0,0.8183,1.0,0.9881,0.0
509,Notting Hill,1999.0,0.0,0.4642,0.1857,Pretty Woman,1.0,0.0588,0.0256,0.0,0.9912,1.0,0.9948,0.96
3592,One Million B.C.,1940.0,0.0,0.4641,0.1857,Journey to the Center of the Earth,1.0,0.2143,0.0,0.0,0.9731,1.0,0.9773,0.475
25161,George Carlin: Jammin' in New York,1992.0,0.0,0.4642,0.1857,Hannah Gadsby: Nanette,1.0,0.0909,0.0,0.0,0.946,1.0,0.9973,0.9775
9348,Species,1995.0,0.0,0.4642,0.1857,Alien Resurrection,1.0,0.1111,0.0,0.0,0.9994,1.0,0.8862,0.9535
2609,"Planes, Trains and Automobiles",1987.0,0.0,0.4643,0.1857,The Breakfast Club,0.5,0.0,0.0,1.0,0.9862,1.0,0.9204,0.879
1271,300,2007.0,0.0,0.464,0.1856,Justice League,0.5,0.0333,0.0,1.0,0.9912,1.0,0.9338,0.721
1397640,Cameron Esposito: Four Pills,2025.0,0.0,0.4632,0.1853,Bo Burnham: What.,1.0,0.1429,0.0,0.0,0.995,1.0,0.9842,0.714
26665,Aberdeen,2000.0,0.0,0.4629,0.1852,The Meyerowitz Stories (New and Selected),1.0,0.0714,0.0,0.0,0.9994,1.0,0.9809,0.992
444951,New Life,2016.0,0.0,0.463,0.1852,All My Life,1.0,0.1429,0.0,0.0,0.995,1.0,0.9667,0.726
10161,My Left Foot: The Story of Christy Brown,1989.0,0.0,0.4624,0.185,The Straight Story,1.0,0.087,0.0,0.0,0.956,1.0,0.9872,0.9565
25350,Imaginary Heroes,2004.0,0.0,0.4619,0.1848,Alex Strangelove,1.0,0.0833,0.0,0.0,0.9231,1.0,0.9942,0.988
184,Jackie Brown,1997.0,0.0,0.4621,0.1848,Once Upon a Time... in Hollywood,0.5,0.0286,0.0,1.0,0.9651,1.0,0.6697,0.9933
25557,The Puppet Masters,1994.0,0.0,0.4616,0.1846,The Cloverfield Paradox,1.0,0.1053,0.0,0.0,0.9731,1.0,0.8812,0.956
263794,Druid Peak,2014.0,0.0,0.4613,0.1845,Mowgli: Legend of the Jungle,1.0,0.0714,0.0,0.0,0.9802,1.0,0.9943,0.966
948,Halloween,1978.0,0.0,0.461,0.1844,Prince of Darkness,0.5,0.0,0.0278,1.0,0.935,1.0,0.8735,0.8
262153,Fanfaren der Ehe,1953.0,0.0,0.4603,0.1841,Suck Me Shakespeer 2,1.0,0.1667,0.0,0.0,0.667,1.0,0.9849,0.8873
9472,DodgeBall: A True Underdog Story,2004.0,0.0,0.4602,0.1841,We're the Millers,0.5,0.0167,0.0,1.0,0.8353,1.0,0.9107,0.8913
10950,I Am Sam,2001.0,0.0,0.4599,0.184,Marriage Story,1.0,0.04,0.0256,0.0,0.9862,1.0,0.9936,0.9565
646380,Don't Look Up,2021.0,0.0,0.4594,0.1837,Anchorman 2: The Legend Continues,0.5,0.0357,0.0,1.0,0.8183,1.0,0.96,0.766
2756,The Abyss,1989.0,0.0,0.4592,0.1837,Aliens,0.5,0.0,0.0256,1.0,0.995,1.0,0.7502,0.8367
11031,This Is Spinal Tap,1984.0,0.0,0.4592,0.1837,Popstar: Never Stop Never Stopping,1.0,0.1111,0.0,0.0,0.9912,1.0,0.9498,0.7982
10872,The Ref,1994.0,0.0,0.4586,0.1835,Bottle Rocket,1.0,0.0588,0.0,0.0,0.9802,1.0,0.9941,0.963
10115,Stick It,2006.0,0.0,0.4583,0.1833,Alex Strangelove,1.0,0.0625,0.0,0.0,0.9802,1.0,0.9971,0.938
12110,Dracula: Dead and Loving It,1995.0,0.0,0.4584,0.1833,Fright Night,1.0,0.0909,0.0,0.0,0.8353,1.0,0.9952,0.973
28176,Tucker: The Man and His Dream,1988.0,0.0,0.4583,0.1833,Erin Brockovich,1.0,0.1667,0.0,0.0,0.8007,1.0,0.8777,0.8217
1887,Marie Antoinette,2006.0,0.0,0.4584,0.1833,Luther,1.0,0.0667,0.0,0.0,1.0,1.0,0.9759,0.9248
10127,Critters 2,1988.0,0.0,0.4576,0.183,Slither,1.0,0.0714,0.0,0.0,0.956,1.0,0.9818,0.9283
22949,Old Dogs,2009.0,0.0,0.4574,0.183,Jack and Jill,1.0,0.1111,0.0,0.0,0.995,1.0,0.9973,0.7118
9431,Bordello of Blood,1996.0,0.0,0.4574,0.183,Fright Night,1.0,0.0769,0.0256,0.0,0.8183,1.0,0.9966,0.9225
3124,The Evil of Frankenstein,1964.0,0.0,0.4572,0.1829,Phase IV,1.0,0.0556,0.0,0.0,0.9994,1.0,0.9803,0.943
25944,Blood for Dracula,1974.0,0.0,0.4567,0.1827,Fright Night,1.0,0.0667,0.0,0.0,0.995,1.0,0.9983,0.875
235,Stand by Me,1986.0,0.0,0.4565,0.1826,Trainspotting,1.0,0.0476,0.0,0.0,0.9862,1.0,0.9691,0.9848
1402,The Pursuit of Happyness,2006.0,0.0,0.4565,0.1826,The Greatest Showman,1.0,0.0625,0.0,0.0,0.9231,1.0,0.9607,0.9952
11025,New York Minute,2004.0,0.0,0.4562,0.1825,The Inbetweeners Movie,1.0,0.0417,0.0,0.0,0.9802,1.0,0.9913,0.9857
1571,Live Free or Die Hard,2007.0,0.0,0.4564,0.1825,Ballerina,0.6667,0.0,0.0,1.0,0.995,1.0,0.0,0.7987
10149,Smoke,1995.0,0.0,0.4562,0.1825,The Royal Tenenbaums,1.0,0.0714,0.0,0.0,0.9978,1.0,0.9077,0.9327
837881,She Said,2022.0,0.0,0.4564,0.1825,Steve Jobs,1.0,0.0435,0.0256,0.0,0.9731,1.0,0.9833,0.8942
2577,Code 46,2003.0,0.0,0.4559,0.1824,Monsters,1.0,0.0435,0.0,0.0,0.9994,1.0,0.9448,0.9995
2001,We Own the Night,2007.0,0.0,0.4559,0.1823,Good Time,1.0,0.0968,0.0,0.0,0.8674,1.0,0.9932,0.8695
1420,Breakfast on Pluto,2005.0,0.0,0.4557,0.1823,Pride,1.0,0.0769,0.0,0.0,0.9651,1.0,0.9668,0.8735
10946,Earth,2007.0,0.0,0.4554,0.1822,My Octopus Teacher,1.0,0.0455,0.0,0.0,0.9862,1.0,0.9998,0.9405
1908,Inherit the Wind,1960.0,0.0,0.4549,0.182,Marriage Story,1.0,0.0435,0.0,0.0,0.956,1.0,0.9843,0.9835
1850,Man on the Moon,1999.0,0.0,0.4551,0.182,BlackBerry,1.0,0.0333,0.0,0.0,0.9978,1.0,0.9893,0.982
10139,Milk,2008.0,0.0,0.4551,0.182,Steve Jobs,1.0,0.0606,0.0,0.0,0.9802,1.0,0.9937,0.8847
9352,EuroTrip,2004.0,0.0,0.455,0.182,Easy A,1.0,0.04,0.0,0.0,0.9994,1.0,0.9924,0.9483
3127,The Revenge of Frankenstein,1958.0,0.0,0.4549,0.182,Phase IV,1.0,0.0476,0.0,0.0,0.9912,1.0,0.985,0.932
9388,Thank You for Smoking,2005.0,0.0,0.4548,0.1819,Big Time Adolescence,1.0,0.0303,0.0,0.0,0.9994,1.0,0.9765,0.9995
2566,Time to Leave,2005.0,0.0,0.4547,0.1819,It's Only the End of the World,1.0,0.125,0.0,0.0,0.7827,1.0,0.9868,0.8247
440907,David Hockney: A Bigger Picture,2009.0,0.0,0.4546,0.1819,David Lynch: The Art Life,1.0,0.1111,0.0,0.0,0.6869,1.0,0.9757,0.9857
10158,White Men Can't Jump,1992.0,0.0,0.4544,0.1818,Hustle,1.0,0.0952,0.0,0.0,0.9978,1.0,0.9812,0.728
1213,The Talented Mr. Ripley,1999.0,0.0,0.4546,0.1818,Uncut Gems,1.0,0.0377,0.0,0.0,0.9912,1.0,0.9505,0.999
11159,Secrets & Lies,1996.0,0.0,0.4545,0.1818,Marriage Story,1.0,0.0526,0.0,0.0,0.9862,1.0,0.9523,0.9418
12102,Kramer vs. Kramer,1979.0,0.0,0.4542,0.1817,The Straight Story,1.0,0.037,0.0,0.0,0.9731,1.0,0.9944,0.9685
10130,Gorillas in the Mist,1988.0,0.0,0.4542,0.1817,Steve Jobs,1.0,0.0435,0.0,0.0,0.9731,1.0,0.9966,0.941
2007,Lorenzo's Oil,1992.0,0.0,0.4543,0.1817,Erin Brockovich,1.0,0.0769,0.0,0.0,0.9912,1.0,0.8724,0.914
180,Minority Report,2002.0,0.0,0.4536,0.1815,The Lost World: Jurassic Park,0.5,0.0,0.0256,1.0,0.8674,1.0,0.8014,0.8013
25133,Transylvania 6-5000,1985.0,0.0,0.4538,0.1815,Fright Night,1.0,0.1,0.0,0.0,0.9104,1.0,0.9911,0.775
9403,Private Parts,1997.0,0.0,0.4536,0.1815,Patch Adams,1.0,0.0952,0.0,0.0,0.9802,1.0,0.9247,0.7868
2056,The Station Agent,2003.0,0.0,0.4538,0.1815,Lady Bird,1.0,0.0476,0.0,0.0,0.9802,1.0,0.9308,0.9745
11071,Them!,1954.0,0.0,0.4536,0.1814,Phase IV,1.0,0.0571,0.0,0.0,0.9651,1.0,0.9969,0.882
1273,TMNT,2007.0,0.0,0.4535,0.1814,The Secret Life of Pets,1.0,0.0303,0.0,0.0,1.0,1.0,0.9885,0.9603
28053,City Island,2009.0,0.0,0.4532,0.1813,The Meyerowitz Stories (New and Selected),1.0,0.0588,0.0,0.0,0.9651,1.0,0.9884,0.876
25248,Saint Ralph,2005.0,0.0,0.4532,0.1813,Big Time Adolescence,1.0,0.0455,0.0,0.0,0.9912,1.0,0.9751,0.916
1546,Thumbsucker,2005.0,0.0,0.4532,0.1813,Alex Strangelove,1.0,0.0476,0.0,0.0,0.995,1.0,0.9843,0.8947
220,East of Eden,1955.0,0.0,0.4533,0.1813,The Straight Story,1.0,0.0294,0.0,0.0,0.995,1.0,0.991,0.9627
1542,Office Space,1999.0,0.0,0.4529,0.1812,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1.0,0.0645,0.0,0.0,0.9802,1.0,0.968,0.8518
26278,Quatermass 2,1957.0,0.0,0.4528,0.1811,Phase IV,1.0,0.0323,0.0,0.0,0.9994,1.0,0.9451,0.982
1422,The Departed,2006.0,0.0,0.4526,0.181,The Wolf of Wall Street,0.5,0.0,0.0256,1.0,0.6267,1.0,0.8655,0.957
10925,The Return of the Living Dead,1985.0,0.0,0.4524,0.181,Re-Animator,1.0,0.0312,0.0,0.0,0.9862,1.0,0.9694,0.9675
1656,The Legend of Zorro,2005.0,0.0,0.4523,0.1809,Casino Royale,0.5,0.0294,0.0,1.0,0.8825,1.0,0.9058,0.6405
9451,Election,1999.0,0.0,0.4522,0.1809,Alex Strangelove,1.0,0.0345,0.0,0.0,0.9912,1.0,0.9877,0.9267
1548,Ghost World,2001.0,0.0,0.4521,0.1808,The French Dispatch,1.0,0.0,0.0256,0.0,0.995,1.0,0.9564,0.9875
11129,Human Traffic,1999.0,0.0,0.4521,0.1808,Big Time Adolescence,1.0,0.0455,0.0,0.0,0.9651,1.0,0.9923,0.9025
812284,A.rtificial I.mmortality,2021.0,0.0,0.4519,0.1808,AlphaGo,1.0,0.1667,0.0,0.0,0.8674,1.0,0.9948,0.51
9424,Disturbing Behavior,1998.0,0.0,0.452,0.1808,The Void,1.0,0.0357,0.0,0.0,0.9802,1.0,0.9734,0.943
1162,The Miracle Worker,1962.0,0.0,0.4518,0.1807,The Straight Story,1.0,0.0303,0.0,0.0,0.9802,1.0,0.9838,0.95
11026,Exorcist: The Beginning,2004.0,0.0,0.4517,0.1807,The Exorcist,1.0,0.2059,0.0,0.0,0.9651,1.0,0.8329,0.4125
1910,SommerHundeSöhne,2005.0,0.0,0.4514,0.1806,Summer Storm,1.0,0.087,0.0,0.0,0.9978,1.0,0.9826,0.7
11015,The Relic,1997.0,0.0,0.4514,0.1806,The Ritual,1.0,0.0714,0.0,0.0,0.8674,1.0,0.9415,0.933
28033,Stuart Saves His Family,1995.0,0.0,0.4514,0.1806,The Meyerowitz Stories (New and Selected),1.0,0.125,0.0,0.0,0.8517,1.0,0.9943,0.683
3145,The Horror of Frankenstein,1970.0,0.0,0.4515,0.1806,Phase IV,1.0,0.0526,0.0,0.0,0.956,1.0,0.9959,0.868
9410,Great Expectations,1998.0,0.0,0.4515,0.1806,Ticket to Paradise,1.0,0.0263,0.0,0.0,0.9731,1.0,0.9976,0.9535
9378,Thir13en Ghosts,2001.0,0.0,0.4516,0.1806,Insidious: Chapter 2,1.0,0.0714,0.0,0.0,0.8825,1.0,0.9651,0.8978
2039,Moonstruck,1987.0,0.0,0.4516,0.1806,Ticket to Paradise,1.0,0.0484,0.0,0.0,0.9978,1.0,0.9567,0.884
11120,The Mosquito Coast,1986.0,0.0,0.4512,0.1805,Mowgli: Legend of the Jungle,1.0,0.0556,0.0,0.0,0.8968,1.0,0.9309,0.975
9373,The Texas Chainsaw Massacre,2003.0,0.0,0.4512,0.1805,Hostel,1.0,0.0435,0.0,0.0,0.9912,1.0,0.9464,0.912
1209285,We Treat Women Too Well,2024.0,0.0,0.4513,0.1805,Look Who's Back,1.0,0.3333,0.0,0.0,0.8007,0.0,0.9793,0.9118
653734,Coded Bias,2020.0,0.0,0.451,0.1804,AlphaGo,1.0,0.0625,0.0,0.0,0.9912,1.0,0.9976,0.782
26181,Some Girls Do,1969.0,0.0,0.4511,0.1804,Johnny English,1.0,0.0476,0.0,0.0,0.9994,1.0,0.9279,0.9045
26771,That Sinking Feeling,1980.0,0.0,0.4509,0.1804,Bottle Rocket,1.0,0.05,0.0,0.0,0.9978,1.0,0.968,0.852
9369,Asterix Conquers America,1994.0,0.0,0.451,0.1804,Werner - Volles Rooäää!!!,0.4,0.0667,0.0,1.0,0.9651,1.0,0.9653,0.823
1523,The Last King of Scotland,2006.0,0.0,0.4507,0.1803,The Social Network,1.0,0.0392,0.0,0.0,0.9978,1.0,0.8719,0.987
27223,Lost in America,1985.0,0.0,0.4506,0.1802,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1.0,0.0357,0.0,0.0,0.9731,1.0,0.9255,0.9705
11135,The Rescuers Down Under,1990.0,0.0,0.4504,0.1802,The Land Before Time XI: Invasion of the Tinysauruses,1.0,0.0,0.0312,0.0,0.9862,1.0,0.982,0.9155
2640,Heathers,1988.0,0.0,0.45,0.18,Seven Psychopaths,1.0,0.0385,0.0,0.0,0.9731,1.0,0.9854,0.8875
443009,"Don't Worry, He Won't Get Far on Foot",2018.0,0.0,0.4499,0.18,Pride,1.0,0.0667,0.0,0.0,0.9862,1.0,0.9964,0.7492
27996,Dr. Dolittle: Tail to the Chief,2008.0,0.0,0.4497,0.1799,Fat Albert,1.0,0.0,0.0256,0.0,0.9651,1.0,0.9759,0.95
1538,Collateral,2004.0,0.0,0.4498,0.1799,Inside Man,1.0,0.0217,0.0,0.0,0.956,1.0,0.9936,0.959
10900,Surveillance,2008.0,0.0,0.4496,0.1799,The Ritual,1.0,0.0303,0.0,0.0,0.995,1.0,0.9513,0.925
25360,Jack the Giant Killer,1962.0,0.0,0.4498,0.1799,The Dark Crystal,1.0,0.0556,0.0,0.0,0.9994,1.0,0.9535,0.8205
28000,Somebody Up There Likes Me,1956.0,0.0,0.4494,0.1798,The Straight Story,1.0,0.0385,0.0,0.0,0.9994,1.0,0.9596,0.875
28292,Follow the Fleet,1936.0,0.0,0.4495,0.1798,Mamma Mia!,1.0,0.0488,0.0,0.0,0.9978,1.0,0.8456,0.9525
9400,Set It Off,1996.0,0.0,0.4495,0.1798,Uncut Gems,1.0,0.0513,0.0,0.0,0.9104,1.0,0.8763,0.9978
11004,Wonder Boys,2000.0,0.0,0.4495,0.1798,Alex Strangelove,1.0,0.0333,0.0,0.0,0.9231,1.0,0.9893,0.9438
3077,Son of Frankenstein,1939.0,0.0,0.4492,0.1797,Phase IV,1.0,0.0476,0.0,0.0,0.9104,1.0,0.9766,0.907
9519,Chopper,2000.0,0.0,0.4493,0.1797,Good Time,1.0,0.0333,0.0,0.0,0.9651,1.0,0.9988,0.8892
11087,The Hand That Rocks the Cradle,1992.0,0.0,0.449,0.1796,One Hour Photo,1.0,0.04,0.0,0.0,0.8968,1.0,0.978,0.946
